                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8661,                 1.0671,                 1.2185,                0.73483,                0.63211,                0.68264,                0.32778,                 1.8571,                 1.1802,                 1.3067,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.8023,                 1.0196,                 1.2019,                0.76924,                0.66042,                0.72147,                 0.3386,                 1.8542,                 1.1418,                 1.2991,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.8184,                 1.1313,                 1.2169,                0.77801,                 0.6261,                0.69667,                0.32136,                 1.8865,                 1.2167,                 1.3018,               0.000614,               0.000614,               0.000614
                     37,                 1.8322,                 1.0128,                 1.1962,                0.77166,                0.58083,                0.66431,                0.32067,                 1.8746,                 1.2435,                 1.3082,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.7863,                0.99249,                 1.2111,                0.80916,                0.62567,                0.70742,                0.33139,                 1.8714,                 1.1441,                 1.3011,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7766,                0.99161,                 1.2036,                0.78373,                0.60788,                0.68666,                0.33569,                 1.8499,                 1.1965,                 1.2977,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7677,                0.96719,                 1.1837,                0.77992,                0.62787,                0.71415,                0.34098,                 1.8629,                 1.1471,                 1.2951,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.8648,                 1.0236,                 1.2338,                0.77869,                0.61552,                0.68793,                0.33451,                 1.8481,                 1.1901,                 1.3034,               0.000416,               0.000416,               0.000416
                     42,                 1.7891,                0.98169,                 1.2264,                0.77201,                0.65295,                 0.7302,                0.34302,                 1.8765,                 1.0957,                 1.2985,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.8016,                0.98682,                 1.2077,                0.78463,                0.64468,                0.72899,                0.34887,                 1.8683,                 1.1196,                 1.2973,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.803,                0.96122,                 1.2228,                 0.8036,                0.64433,                0.71618,                0.34318,                 1.8487,                 1.1525,                 1.2942,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7755,                0.98447,                 1.2409,                0.79683,                0.62713,                0.70306,                0.33793,                 1.8681,                 1.1423,                 1.3027,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7719,                0.95497,                 1.2044,                0.78825,                0.64997,                0.71734,                0.34245,                 1.8755,                 1.1314,                 1.3126,               0.000218,               0.000218,               0.000218
                     47,                 1.7831,                0.97146,                 1.2056,                0.80166,                0.62969,                0.71527,                0.34174,                 1.8758,                 1.1478,                 1.3067,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.7571,                0.93445,                 1.2064,                0.80382,                0.63727,                0.72506,                0.34514,                 1.8795,                 1.1333,                 1.3067,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.7348,                0.92773,                 1.1992,                 0.8056,                0.62612,                0.71257,                 0.3431,                 1.8762,                 1.1653,                 1.3074,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.7675,                 0.9386,                 1.2179,                0.81114,                0.63433,                0.72034,                 0.3426,                  1.878,                 1.1388,                 1.3106,               5.96e-05,               5.96e-05,               5.96e-05
